"Χρονική σήμανση","Σε ποιο Εργασιακό Περιβάλλον /Τομέα/ Μονάδα εργάζεστε;","Σε ποιο τμήμα του Παθολογικού Τομέα εργάζεστε;","Σε ποιο τμήμα του Χειρουργικού Τομέα εργάζεστε;","Σε ποιο τμήμα του Εργαστηριακού Τομέα εργάζεστε;","Παρακαλώ γράψτε το όνομα του Τομέα που εργάζεστε.","1. Οι εργαζόμενοι υποστηρίζουν ο ένας τον άλλον.","2. Υπάρχει επαρκές προσωπικό για τη διεκπεραίωση της εργασίας.","3. Όταν υπάρχει μεγάλος όγκος εργασίας που πρέπει να γίνει άμεσα, το προσωπικό εργάζεται ομαδικά για την ολοκλήρωση της.","4. Υπάρχει σεβασμός ανάμεσα στους εργαζομένους.","5. Το προσωπικό εργάζεται περισσότερες ώρες από αυτές που διασφαλίζουν ασφαλή φροντίδα για τον ασθενή.","6. Το προσωπικό εργάζεται δυναμικά για τη βελτίωση της ασφάλειας του ασθενούς.","7. Αξιοποιείται περισσότερο προσωρινό προσωπικό από αυτό που διασφαλίζει την ασφαλή φροντίδα του ασθενούς.","8. Το προσωπικό αισθάνεται ότι τα λάθη του μπορεί να χρησιμοποιηθούν εναντίον του. ","9. Τα λάθη οδήγησαν σε θετικές αλλαγές.","10. Από τύχη δεν συμβαίνουν σοβαρά λάθη.","11. Όταν υπάρχει μεγάλος φόρτος εργασίας παρέχεται βοήθεια από άλλες Μονάδες.","12. Όταν δηλώνεται ένα δυσμενές συμβάν, υπάρχει η αίσθηση ότι καταγράφεται το άτομο και όχι το καθαυτό συμβάν.","13. Όταν γίνονται αλλαγές για τη βελτίωση της ασφάλειας του ασθενούς, αξιολογείται η αποτελεσματικότητά τους.","14. Το προσωπικό εργάζεται σε «κατάσταση κρίσης» προσπαθώντας να κάνει πολλά πράγματα γρήγορα.","15. Η ασφάλεια του ασθενούς αποτελεί προτεραιότητα ακόμα και όταν υπάρχει φόρτος εργασίας. ","16. Το προσωπικό ανησυχεί ότι τα λάθη του καταγράφονται στο προσωπικό του φάκελο.","17. Υπάρχει πρόβλημα ασφάλειας του ασθενούς.","18. Οι διαδικασίες διεκπεραίωσης της εργασίας και το σύστημα εν γένει συμβάλλει στην πρόληψη δυσμενών συμβάντων.","1. Επιβραβεύει το προσωπικό με καλά λόγια όταν τηρούνται οι διαδικασίες ασφαλούς φροντίδας του ασθενούς.","2. Λαμβάνει σοβαρά υπόψη του τις προτάσεις του προσωπικού για βελτίωση της ασφάλειας του ασθενούς.","3. Παροτρύνει το προσωπικό να εργάζεται γρηγορότερα όταν υπάρχει υπερβολικός φόρτος εργασίας και πίεση, ακόμη και όταν παραβλέπονται σημαντικές διαδικασίες ασφάλειας του ασθενούς.","4. Παραβλέπει επαναλαμβανόμενα προβλήματα ασφάλειας του ασθενούς.","1. Γίνεται συστηματική αξιολόγηση των αλλαγών που τίθενται σε εφαρμογή, βάσει δυσμενών συμβάντων που έχουν αναφερθεί. ","2. Το προσωπικό μιλάει ελεύθερα όταν διαπιστώσει κάτι που επιδρά αρνητικά στη φροντίδα υγείας του ασθενούς.","3. Το προσωπικό ενημερώνεται συχνά για τα δυσμενή συμβάντα που λαμβάνουν χώρα.","4. Το προσωπικό μπορεί ελεύθερα να αμφισβητήσει τις αποφάσεις ή τις ενέργειες των ανωτέρων του.","5. Το προσωπικό συζητά τρόπους πρόληψης δυσμενών συμβάντων ώστε να μην επαναληφθούν.","6. Το προσωπικό φοβάται να ρωτήσει, όταν κάτι δεν φαίνεται σωστό.","…..αλλά εντοπιστεί και διορθωθεί πριν επηρεάσει τον ασθενή ","……αλλά δεν έχει πιθανότητα να βλάψει τον ασθενή.","…..που θα μπορούσε να βλάψει τον ασθενή, αλλά δεν τον επηρέασε ","Παρακαλώ αξιολογήστε το επίπεδο ασφάλειας των ασθενών συνολικά στο Εργασιακό Περιβάλλον/Μονάδα σας επιλέγοντας με √ την απάντηση που σας εκφράζει.","1. Η Διοίκηση εξασφαλίζει εργασιακό κλίμα που προάγει την ασφάλεια του ασθενούς .","2. Υπάρχει ελλιπής συντονισμός μεταξύ των Μονάδων.","3. Η μεταφορά ασθενούς από τη μία Μονάδα στην άλλη συνήθως συνοδεύεται από προβλήματα.","4. Υπάρχει καλή συνεργασία ανάμεσα στις Μονάδες όταν αυτό απαιτείται.","5. Συχνά, σημαντικές πληροφορίες σχετικά με τη νοσηλεία του ασθενούς χάνονται κατά την αλλαγή της βάρδιας.","6. Η συνεργασία με το προσωπικό άλλων Μονάδων είναι συχνά δυσάρεστη.","7. Συχνά παρουσιάζονται διάφορα προβλήματα κατά την ανταλλαγή πληροφοριών μεταξύ των Μονάδων.","8. Η ασφάλεια του ασθενούς αποτελεί κύρια προτεραιότητα για την Διοίκηση.","9. Η Διοίκηση δείχνει να ενδιαφέρεται για την ασφάλεια του ασθενούς μόνο μετά από την αναφορά κάποιου δυσμενούς συμβάντος.","10. Οι Μονάδες συνεργάζονται καλά μεταξύ τους για την παροχή άριστης ποιοτικά φροντίδας υγείας στον ασθενή.","11. Η αλλαγή βάρδιας είναι προβληματική για τον ασθενή.","Τους τελευταίους 12 μήνες πόσα δυσμενή συμβάντα έχετε αναφέρει; (Αναφέρετε έναν αριθμό)","1. Φύλο: ","2. Ηλικία…","3α. Ποια είναι η βασική σας εκπαίδευση;","3β. Άλλες σπουδές:","7. Πόσο χρονικό διάστημα εργάζεστε στο συγκεκριμένο Νοσοκομείο;","8. Πόσο χρονικό διάστημα εργάζεστε στη συγκεκριμένη μονάδα ?","9. Συνήθως πόσες ώρες την εβδομάδα εργάζεστε στο συγκεκριμένο Νοσοκομείο; …","10. Τι θέση κατέχετε στο νοσοκομείο που εργάζεστε;","12. Πόσο χρονικό διάστημα εργάζεστε στην παρούσα ειδικότητα ή επάγγελμα; (Αθροιστικά στο τρέχον νοσοκομείο και σε τυχόν άλλα)","Παρακαλώ, καταγράψτε ελεύθερα τυχόν σχόλια και παρατηρήσεις σχετικά με ζητήματα ασφάλειας των ασθενών, ιατρικών λαθών και την αναφορά δυσμενών συμβάντων εντός του νοσοκομείου σας."
"2022/11/16 9:20:45 μ.μ. EET","Μονάδα Εντατικής Θεραπείας (ΜΕΘ)","","","","","4","4","4","4","5","5","4","4","5","3","4","3","3","5","5","3","3","2","3","3","2","2","2","4","2","3","2","2","4","4","4","Πολύ Καλό","4","4","","4","2","2","3","4","2","4","2","2","Γυναίκα","44","2. Τεχνολογική (Τ.Ε.)","2. Μεταπτυχιακές σπουδές","18","15","40","4. ΤΕ Νοσηλευτής","19",""
"2022/11/17 1:41:41 μ.μ. EET","Παθολογικός Τομέας","Άλλο","","","Covid ","3","1","3","4","5","4","4","4","3","4","1","4","3","5","4","4","4","3","3","4","4","3","3","4","4","1","4","1","3","2","3","Μέτριο","1","3","4","2","4","4","4","2","5","2","3","7","Γυναίκα","36","2. Τεχνολογική (Τ.Ε.)","","1 έτος ","1 έτος ","48","4. ΤΕ Νοσηλευτής","13 έτη ",""
"2022/11/17 8:54:00 μ.μ. EET","Μονάδα Εντατικής Θεραπείας (ΜΕΘ)","","","","","5","3","5","4","3","5","3","5","5","1","1","2","5","2","5","1","1","4","3","4","1","1","4","5","5","2","5","4","5","3","2","Άριστο","5","1","1","5","1","1","2","5","1","5","1","Κανενα","Γυναίκα","51","2. Τεχνολογική (Τ.Ε.)","2. Μεταπτυχιακές σπουδές","24","15","40  ","4. ΤΕ Νοσηλευτής","22",""
"2022/11/17 9:24:24 μ.μ. EET","Μονάδα Εντατικής Θεραπείας (ΜΕΘ)","","","","","2","2","3","2","4","5","3","4","2","1","2","4","2","5","5","4","2","3","2","2","3","3","3","4","3","2","4","3","3","3","3","Άριστο","4","2","4","4","2","2","2","5","5","5","1","0","Γυναίκα","50","2. Τεχνολογική (Τ.Ε.)","2. Μεταπτυχιακές σπουδές","188","8","40","4. ΤΕ Νοσηλευτής","22",""
"2022/11/17 9:29:23 μ.μ. EET","Άλλο","","","","Ρευματολογικη","4","1","3","3","5","5","2","5","4","2","2","5","4","4","4","5","2","3","1","3","1","1","5","4","5","1","5","5","4","3","3","Πολύ Καλό","5","2","1","4","1","2","2","5","1","5","1","Κανένα ","Άνδρας","52","2. Τεχνολογική (Τ.Ε.)","","16","4","40","4. ΤΕ Νοσηλευτής","17",""
"2022/11/17 9:38:35 μ.μ. EET","Μονάδα Εντατικής Θεραπείας (ΜΕΘ)","","","","","3","2","4","3","4","5","3","3","3","1","3","4","3","3","5","4","1","3","3","4","2","1","3","4","5","3","5","2","5","4","4","Άριστο","5","1","1","4","1","2","2","5","1","5","1","0","Γυναίκα","50","2. Τεχνολογική (Τ.Ε.)","1. Ειδικότητα","22","8","40","4. ΤΕ Νοσηλευτής","22",""
"2022/11/17 9:43:13 μ.μ. EET","Χειρουργικός Τομέας","","Θωρακοχειρουργικό","","","4","2","5","4","3","5","3","4","5","2","4","2","4","4","5","4","2","4","3","3","3","3","3","4","3","2","3","3","3","3","3","Πολύ Καλό","4","2","2","4","3","3","3","4","3","4","2","Ένα","Γυναίκα","47","2. Τεχνολογική (Τ.Ε.)","3. Διδακτορικό δίπλωμα","21 χρόνια","4 χρόνια","41","4. ΤΕ Νοσηλευτής","25 χρόνια",""
"2022/11/18 10:22:29 π.μ. EET","Παθολογικός Τομέας","Ογκολογικό","","","","4","2","3","3","4","4","2","5","3","4","2","4","2","5","3","4","4","2","4","2","4","3","3","2","4","2","5","4","4","3","2","Μέτριο","2","4","4","3","3","3","4","3","5","3","2","0","Γυναίκα","28","3. Πανεπιστημιακή (Π.Ε.)","1. Ειδικότητα","1 έτος ","1ετος","40","3. ΠΕ Νοσηλευτής","4",""
"2022/11/18 12:04:33 μ.μ. EET","Άλλο","","","","Θέσεις","3","2","4","3","4","3","4","2","4","3","2","4","4","4","4","3","4","4","2","4","4","2","3","4","4","2","4","2","2","2","3","Καλό","4","2","2","4","2","2","2","4","2","4","2","Δύο","Γυναίκα","47","2. Τεχνολογική (Τ.Ε.)","","22","11","40","4. ΤΕ Νοσηλευτής","22","Για την αποφυγή λαθών θα έπρεπε να υπάρχει περισσότερο προσωπικό ανά βάρδια και συνεργασία και ενημέρωση μεταξύ ειδικοτήτων π. Χ νοσηλευτών και ιατρών. Δεν είναι υπεύθυνος για όλα ο νοσηλευτής. "
"2022/11/18 7:16:36 μ.μ. EET","Μονάδα Εντατικής Θεραπείας (ΜΕΘ)","","","","","4","2","4","4","2","4","3","3","4","3","1","4","4","4","4","2","3","4","4","4","3","2","4","4","4","4","4","1","5","4","5","Καλό","4","3","2","3","1","3","3","2","5","3","3","","Γυναίκα","42","2. Τεχνολογική (Τ.Ε.)","2. Μεταπτυχιακές σπουδές","12 χρόνια ","10 χρόνια ","40 ωρες","4. ΤΕ Νοσηλευτής","16 χρόνια ",""
"2022/11/18 8:16:35 μ.μ. EET","Άλλο","","","","Αιματολογική ","4","1","5","4","4","5","4","5","4","4","3","4","3","3","4","5","4","3","4","5","2","1","2","4","4","2","4","4","3","4","3","Πολύ Καλό","2","4","2","4","1","4","4","3","3","4","2","2","Γυναίκα","48","2. Τεχνολογική (Τ.Ε.)","","5 έτη ","1 έτος ","40","4. ΤΕ Νοσηλευτής","22 έτη ",""
"2022/11/20 9:50:10 μ.μ. EET","Χειρουργικός Τομέας","","Ορθοπεδικό","","","2","2","2","2","1","2","4","2","2","5","2","2","2","2","2","3","5","1","1","1","1","1","1","2","1","1","1","5","2","2","2","Κακό","1","5","4","2","4","4","4","1","1","2","4","0","Γυναίκα","33","3. Πανεπιστημιακή (Π.Ε.)","1. Ειδικότητα","4","4","45","1. Ειδικευόμενος ιατρός","6",""
